Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2.2s.6d""","=""1D""","=""2""","=""""","=""71.39908""","=""""","=""""","=""0.0078""","="""""
"=""1s2.2s.6f""","=""1F*""","=""3""","=""""","=""71.41481""","=""""","=""""","=""0.0157""","="""""
"=""1s2.2s.6h""","=""1H*""","=""5""","=""""","=""71.42022""","=""""","=""""","=""0.0054""","="""""
"=""1s2.2s.6h""","=""3H*""","=""4""","=""""","=""71.42022""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.6h""","=""3H*""","=""5""","=""""","=""71.42022""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.6h""","=""3H*""","=""6""","=""""","=""71.42022""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2p.(2P*).4s""","=""3P*""","=""0""","=""""","=""71.65763""","=""""","=""""","=""0.2374""","="""""
"=""1s2.2p.(2P*).4s""","=""3P*""","=""1""","=""""","=""71.66850""","=""""","=""""","=""0.0109""","="""""
"=""1s2.2p.(2P*).4s""","=""3P*""","=""2""","=""""","=""71.68898""","=""""","=""""","=""0.0205""","="""""
"=""1s2.2p.(2P*<3/2>).4s""","=""1P*""","=""1""","=""""","=""72.01219""","=""""","=""""","=""0.3232""","="""""
"=""1s2.2p.(2P*<1/2>).4p""","=""1P""","=""1""","=""""","=""72.48880""","=""""","=""""","=""0.4766""","="""""
"=""1s2.2s.7s""","=""3S""","=""1""","=""""","=""72.52792""","=""""","=""""","=""0.0391""","="""""
"=""1s2.2s.7s""","=""1S""","=""0""","=""""","=""72.52869""","=""""","=""""","=""0.0008""","="""""
"=""1s2.2p.(2P*).4p""","=""3D""","=""1""","=""""","=""72.61872""","=""""","=""""","=""0.0900""","="""""
"=""1s2.2p.(2P*).4p""","=""3D""","=""2""","=""""","=""72.62971""","=""""","=""""","=""0.0110""","="""""
"=""1s2.2p.(2P*).4p""","=""3D""","=""3""","=""""","=""72.64604""","=""""","=""""","=""0.0163""","="""""
"=""1s2.2s.7p""","=""1P*""","=""1""","=""""","=""72.90015""","=""""","=""""","=""0.2541""","="""""
"=""1s2.2s.7d""","=""3D""","=""1""","=""""","=""72.95015""","=""""","=""""","=""0.0500""","="""""
"=""1s2.2s.7d""","=""3D""","=""2""","=""""","=""72.95015""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7d""","=""3D""","=""3""","=""""","=""72.95015""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2p.(2P*<1/2>).4d""","=""1D*""","=""2""","=""""","=""72.98813""","=""""","=""""","=""0.0380""","="""""
"=""1s2.2p.(2P*).4p""","=""3P""","=""0""","=""""","=""73.00067""","=""""","=""""","=""0.0125""","="""""
"=""1s2.2p.(2P*).4p""","=""3P""","=""1""","=""""","=""73.02560""","=""""","=""""","=""0.0249""","="""""
"=""1s2.2p.(2P*).4p""","=""3P""","=""2""","=""""","=""73.03405""","=""""","=""""","=""0.0084""","="""""
"=""1s2.2s.7d""","=""1D""","=""2""","=""""","=""73.01231""","=""""","=""""","=""-0.0217""","="""""
"=""1s2.2s.7h""","=""1H*""","=""5""","=""""","=""73.02599""","=""""","=""""","=""0.0137""","="""""
"=""1s2.2s.7h""","=""3H*""","=""4""","=""""","=""73.02599""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7h""","=""3H*""","=""5""","=""""","=""73.02599""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7h""","=""3H*""","=""6""","=""""","=""73.02599""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7i""","=""1I""","=""6""","=""""","=""73.02935""","=""""","=""""","=""0.0034""","="""""
"=""1s2.2s.7i""","=""3I""","=""5""","=""""","=""73.02935""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7i""","=""3I""","=""6""","=""""","=""73.02935""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.7i""","=""3I""","=""7""","=""""","=""73.02935""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2p.(2P*<3/2>).4d""","=""1F*""","=""3""","=""""","=""73.28059""","=""""","=""""","=""0.2512""","="""""
"=""1s2.2p.(2P*<3/2>).4p""","=""1D""","=""2""","=""""","=""73.28221""","=""""","=""""","=""0.0016""","="""""
"=""1s2.2p.(2P*).4d""","=""3D*""","=""1""","=""""","=""73.60818""","=""""","=""""","=""0.3260""","="""""
"=""1s2.2p.(2P*).4d""","=""3D*""","=""2""","=""""","=""73.61112""","=""""","=""""","=""0.0029""","="""""
"=""1s2.2p.(2P*).4d""","=""3D*""","=""3""","=""""","=""73.61836""","=""""","=""""","=""0.0072""","="""""
"=""1s2.2p.(2P*<3/2>).4p""","=""1S""","=""0""","=""""","=""73.66925""","=""""","=""""","=""0.0509""","="""""
"=""1s2.2p.(2P*).4d""","=""3P*""","=""2""","=""""","=""73.70735""","=""""","=""""","=""0.0381""","="""""
"=""1s2.2p.(2P*).4d""","=""3P*""","=""1""","=""""","=""73.71452""","=""""","=""""","=""0.0072""","="""""
"=""1s2.2p.(2P*).4d""","=""3P*""","=""0""","=""""","=""73.71776""","=""""","=""""","=""0.0032""","="""""
"=""1s2.2p.(2P*<3/2>).4p""","=""3S""","=""1""","=""""","=""73.80733""","=""""","=""""","=""0.0896""","="""""
