Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""""","=""17.33076""","=""""","=""""","=""0.00597""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""""","=""17.345839""","=""""","=""""","=""0.01508""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""1/2""","=""""","=""17.380808""","=""""","=""""","=""0.03497""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""3/2""","=""""","=""17.399334""","=""""","=""""","=""0.01853""","=""""","=""L6925"""
"=""5s2.5p4.(3P<0>).7s""","=""2[0]""","=""1/2""","=""""","=""17.467318""","=""""","=""""","=""0.06798""","=""2.25""","=""L6925"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""3/2""","=""""","=""17.653134""","=""""","=""""","=""0.18582""","=""1.59""","=""L6925"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""1/2""","=""""","=""17.721049""","=""""","=""""","=""0.06791""","=""1.05""","=""L6925"""
"=""5s2.5p4.(3P<0>).6d""","=""2[2]""","=""3/2""","=""""","=""17.871102""","=""""","=""""","=""0.15005""","=""0.83""","=""L6925"""
"=""5s2.5p4.(3P<0>).6d""","=""2[2]""","=""5/2""","=""""","=""17.901446""","=""""","=""""","=""0.03034""","=""1.21""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[1]""","=""1/2""","=""""","=""18.005323""","=""""","=""""","=""0.10388""","=""0.38""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[1]""","=""3/2""","=""""","=""18.360224""","=""""","=""""","=""0.35490""","=""1.07""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[3]""","=""7/2""","=""""","=""18.050563""","=""""","=""""","=""-0.30966""","=""1.27""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[3]""","=""5/2""","=""""","=""18.216733""","=""""","=""""","=""0.16617""","=""0.98""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[2]""","=""3/2""","=""""","=""18.094296""","=""""","=""""","=""-0.12244""","=""1.04""","=""L6925"""
"=""5s2.5p4.(3P<1>).6d""","=""2[2]""","=""5/2""","=""""","=""18.139575""","=""""","=""""","=""0.04528""","=""1.30""","=""L6925"""
"=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""5/2""","=""""","=""18.264179""","=""""","=""""","=""0.12460""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""3/2""","=""""","=""18.295651""","=""""","=""""","=""0.03147""","=""""","=""L6925"""
"=""5s2.5p4.(3P<0>).4f""","=""2[3]*""","=""5/2""","=""""","=""18.289865""","=""""","=""""","=""-0.00579""","=""""","=""L6925"""
"=""5s2.5p4.(3P<0>).4f""","=""2[3]*""","=""7/2""","=""""","=""18.296237""","=""""","=""""","=""0.00637""","=""""","=""L6925"""
"=""5s2.5p4.(1S<0>).6p""","=""2[1]*""","=""1/2""","=""""","=""18.377519""","=""""","=""""","=""0.08128""","=""""","=""L6925"""
"=""5s2.5p4.(1S<0>).6p""","=""2[1]*""","=""3/2""","=""""","=""18.497412""","=""""","=""""","=""0.11989""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""3/2""","=""""","=""18.396168""","=""""","=""""","=""-0.10124""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""""","=""18.467670""","=""""","=""""","=""0.07150""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[4]*""","=""9/2""","=""""","=""18.422302""","=""""","=""""","=""-0.04537""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[4]*""","=""7/2""","=""""","=""18.508411""","=""""","=""""","=""0.08611""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""7/2""","=""""","=""18.558283""","=""""","=""""","=""0.04987""","=""""","=""L6925"""
"=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""""","=""18.572858""","=""""","=""""","=""0.01458""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).7s""","=""2[2]""","=""5/2""","=""""","=""18.560092""","=""""","=""""","=""-0.01277""","=""""","=""L6925"""
"=""5s2.5p4.(1D<2>).7s""","=""2[2]""","=""3/2""","=""""","=""18.573180""","=""""","=""""","=""0.01309""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5f""","=""2[5]*""","=""11/2""","=""""","=""18.609638""","=""""","=""""","=""0.03646""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5f""","=""2[5]*""","=""9/2""","=""""","=""18.623885""","=""""","=""""","=""0.01425""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[5]""","=""9/2""","=""""","=""18.776450""","=""""","=""""","=""0.15256""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[5]""","=""11/2""","=""""","=""18.777568""","=""""","=""""","=""0.00112""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[4]""","=""7/2""","=""""","=""18.776987""","=""""","=""""","=""-0.00058""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[4]""","=""9/2""","=""""","=""18.777730""","=""""","=""""","=""0.00074""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[3]""","=""7/2""","=""""","=""18.783470""","=""""","=""""","=""0.00574""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[3]""","=""5/2""","=""""","=""18.783725""","=""""","=""""","=""0.00025""","=""""","=""L6925"""
"=""5s2.5p4.(3P<2>).5g""","=""2[6]""","=""13/2""","=""""","=""18.78640""","=""""","=""""","=""0.00267""","=""""","=""L6925"""
