Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d2.(1D).5p""","=""w 2D*""","=""5/2""","=""""","=""4.55649629""","=""""","=""0.00000025""","=""0.0369877""","=""""","=""L7610"""
"=""""","=""""","=""5/2""","=""""","=""4.540115""","=""""","=""""","=""-0.016381""","=""1.32""","=""L3465"""
"=""4d.5s.(1D).6s""","=""f 2D""","=""3/2""","=""""","=""4.5701053""","=""""","=""0.0000005""","=""0.029990""","=""""","=""L7610"""
"=""4d.5s.(1D).6s""","=""f 2D""","=""5/2""","=""""","=""4.59661373""","=""""","=""0.00000025""","=""0.0265084""","=""""","=""L7610"""
"=""4d2.(3P).5p""","=""y 4P*""","=""1/2""","=""""","=""4.5922861""","=""""","=""0.0000016""","=""-0.0043276""","=""2.28""","=""L7610"""
"=""4d2.(3P).5p""","=""y 4P*""","=""3/2""","=""""","=""4.6058117""","=""""","=""0.0000004""","=""0.013526""","=""1.58""","=""L7610"""
"=""4d2.(3P).5p""","=""y 4P*""","=""5/2""","=""""","=""4.6464221""","=""""","=""0.0000005""","=""0.0406104""","=""1.45""","=""L7610"""
"=""5s2.(1S).6p""","=""2P*""","=""1/2""","=""""","=""4.6005233""","=""""","=""0.0000006""","=""-0.0458988""","=""""","=""L7610"""
"=""5s2.(1S).6p""","=""2P*""","=""3/2""","=""""","=""4.62261272""","=""""","=""0.00000025""","=""0.0220894""","=""""","=""L7610"""
"=""4d2.(1D).5p""","=""w 2P*""","=""3/2""","=""""","=""4.6176405""","=""""","=""0.0000004""","=""-0.0049722""","=""1.32""","=""L7610"""
"=""4d2.(1D).5p""","=""w 2F*""","=""5/2""","=""""","=""4.6220296""","=""""","=""0.0000010""","=""0.004389""","=""""","=""L7610"""
"=""4d2.(1D).5p""","=""w 2F*""","=""7/2""","=""""","=""4.66426434""","=""""","=""0.00000025""","=""0.0422347""","=""1.14""","=""L7610"""
"=""""","=""""","=""5/2""","=""""","=""4.638608""","=""""","=""""","=""-0.025656""","=""0.86""","=""L3465"""
"=""4d3 <2>""","=""2D""","=""5/2""","=""""","=""4.6524377""","=""""","=""0.0000010""","=""0.013830""","=""""","=""L7610"""
"=""4d3 <2>""","=""2D""","=""3/2""","=""""","=""4.6555474""","=""""","=""0.0000006""","=""0.003110""","=""""","=""L7610"""
"=""4d2.(1G).5p""","=""z 2H*""","=""9/2""","=""""","=""4.6603364""","=""""","=""0.0000005""","=""0.0047890""","=""0.91""","=""L7610"""
"=""4d2.(1G).5p""","=""z 2H*""","=""11/2""","=""""","=""4.7073492""","=""""","=""0.0000005""","=""0.0470128""","=""1.11""","=""L7610"""
"=""4d3""","=""2F""","=""5/2""","=""""","=""4.7308188""","=""""","=""0.0000004""","=""0.0234696""","=""""","=""L7610"""
"=""4d3""","=""2F""","=""7/2""","=""""","=""4.76245264""","=""""","=""0.00000025""","=""0.0316338""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4D""","=""1/2""","=""""","=""4.7696664""","=""""","=""0.0000009""","=""0.0072138""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4D""","=""3/2""","=""""","=""4.77880789""","=""""","=""0.00000025""","=""0.0091415""","=""1.22""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4D""","=""5/2""","=""""","=""4.79514144""","=""""","=""0.00000025""","=""0.0163335""","=""1.08""","=""L7610"""
"=""4d.5s.(3D).5d""","=""f 4D""","=""7/2""","=""""","=""4.81872249""","=""""","=""0.00000012""","=""0.0235810""","=""1.34""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4D*""","=""1/2""","=""""","=""4.7700784""","=""""","=""0.0000005""","=""-0.0486441""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4D*""","=""3/2""","=""""","=""4.7891387""","=""""","=""0.0000004""","=""0.0190603""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4D*""","=""5/2""","=""""","=""4.8103456""","=""""","=""0.0000004""","=""0.0212069""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4D*""","=""7/2""","=""""","=""4.8561169""","=""""","=""0.0000006""","=""0.0457713""","=""""","=""L7610"""
"=""4d2.(1G).5p""","=""y 2G*""","=""7/2""","=""""","=""4.77079008""","=""""","=""0.00000025""","=""-0.0853268""","=""0.89""","=""L7610"""
"=""4d2.(1G).5p""","=""y 2G*""","=""9/2""","=""""","=""4.7854211""","=""""","=""0.0000004""","=""0.0146310""","=""1.11""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4G""","=""5/2""","=""""","=""4.7901891""","=""""","=""0.0000004""","=""0.0047680""","=""0.73""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4G""","=""7/2""","=""""","=""4.8058700""","=""""","=""0.0000004""","=""0.0156809""","=""1.04""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4G""","=""9/2""","=""""","=""4.8291127""","=""""","=""0.0000005""","=""0.0232427""","=""1.16""","=""L7610"""
"=""4d.5s.(3D).5d""","=""e 4G""","=""11/2""","=""""","=""4.863015""","=""""","=""0.000003""","=""0.033902""","=""1.30""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4F*""","=""5/2""","=""""","=""4.7981388""","=""""","=""0.0000005""","=""-0.064876""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4F*""","=""7/2""","=""""","=""4.8099969""","=""""","=""0.0000005""","=""0.0118581""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4F*""","=""9/2""","=""""","=""4.8610134""","=""""","=""0.0000004""","=""0.0510165""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""2F*""","=""5/2""","=""""","=""4.8215709""","=""""","=""0.0000004""","=""-0.0394425""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""2F*""","=""7/2""","=""""","=""4.8423989""","=""""","=""0.0000004""","=""0.0208280""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""4S""","=""3/2""","=""""","=""4.8355654""","=""""","=""0.0000005""","=""-0.0068335""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2P""","=""1/2""","=""""","=""4.8462047""","=""""","=""0.0000004""","=""0.0106393""","=""""","=""L7610"""
"=""4d.5s.(3D).5d""","=""2P""","=""3/2""","=""""","=""4.86134876""","=""""","=""0.00000025""","=""0.0151441""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""2D*""","=""3/2""","=""""","=""4.8653220""","=""""","=""0.0000006""","=""0.0039732""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""2D*""","=""5/2""","=""""","=""4.87112256""","=""""","=""0.00000025""","=""0.0058006""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4P*""","=""1/2""","=""""","=""4.8690359""","=""""","=""0.0000004""","=""-0.0020867""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4P*""","=""3/2""","=""""","=""4.8872308""","=""""","=""0.0000004""","=""0.0181949""","=""""","=""L7610"""
"=""4d.5s.(3D).6p""","=""4P*""","=""5/2""","=""""","=""4.9255638""","=""""","=""0.0000004""","=""0.0383330""","=""""","=""L7610"""
