Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d.7p""","=""1P*""","=""1""","=""""","=""4.7733743""","=""""","=""""","=""0.040030""","=""""","=""L9224"""
"=""6p2""","=""1D""","=""2""","=""""","=""4.7803629""","=""""","=""""","=""0.006989""","=""""","=""L9224"""
"=""6s.10s""","=""1S""","=""0""","=""""","=""4.79370""","=""""","=""""","=""0.01334""","=""""","=""L14317"""
"=""6s.6f""","=""3F*""","=""2""","=""""","=""4.8125335""","=""""","=""""","=""0.01883""","=""""","=""L9224"""
"=""6s.6f""","=""3F*""","=""3""","=""""","=""4.8129895""","=""""","=""""","=""0.000456""","=""""","=""L9224"""
"=""6s.6f""","=""3F*""","=""4""","=""""","=""4.8137165""","=""""","=""""","=""0.000727""","=""""","=""L9224"""
"=""6s.6f""","=""1F*""","=""3""","=""""","=""4.8209895""","=""""","=""""","=""0.007273""","=""""","=""L9224"""
"=""5d.6d""","=""1S""","=""0""","=""""","=""4.82596""","=""""","=""""","=""0.00497""","=""""","=""L14317"""
"=""6s.10p""","=""3P*""","=""1""","=""""","=""4.855247""","=""""","=""""","=""0.02929""","=""""","=""L4542"""
"=""6s.9d""","=""3D""","=""3""","=""""","=""4.8584076""","=""""","=""""","=""0.003161""","=""""","=""L9224"""
"=""6s.10p""","=""1P*""","=""1""","=""""","=""4.874061""","=""""","=""""","=""0.015653""","=""""","=""L4542"""
"=""6s.9d""","=""1D""","=""2""","=""""","=""4.8769188""","=""""","=""""","=""0.002858""","=""""","=""L9224"""
"=""5d.8s""","=""3D""","=""1""","=""""","=""4.882846""","=""""","=""""","=""0.005927""","=""""","=""L5587"""
"=""5d.8s""","=""3D""","=""2""","=""""","=""4.893034""","=""""","=""""","=""0.01019""","=""""","=""L4030"""
"=""5d.8s""","=""3D""","=""3""","=""""","=""4.977549""","=""""","=""""","=""0.08451""","=""""","=""L5587"""
"=""6s.11s""","=""1S""","=""0""","=""""","=""4.918683""","=""""","=""""","=""-0.05887""","=""""","=""L4030"""
"=""6s.7f""","=""3F*""","=""2""","=""""","=""4.9194668""","=""""","=""""","=""0.000784""","=""""","=""L9224"""
