Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d9.6s2.(2D<5/2>).13f""","=""2[1/2]*""","=""1""","=""""","=""14.7456""","=""""","=""0.0005""","=""0.0001""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).17p""","=""2[3/2]*""","=""1""","=""""","=""14.75878""","=""""","=""0.00016""","=""0.0132""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).18p""","=""2[3/2]*""","=""1""","=""""","=""14.77108""","=""""","=""0.00016""","=""0.0123""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).19p""","=""2[3/2]*""","=""1""","=""""","=""14.77991""","=""""","=""0.00016""","=""0.0088""","=""""","="""""
"=""5d9.6s2.(2D<5/2>).20p""","=""2[3/2]*""","=""1""","=""""","=""14.78781""","=""""","=""0.00016""","=""0.0079""","=""""","="""""
"=""Hg II (5d9.6s2 2D<5/2>)""","=""Limit""","=""---""","=""""","=""14.84091""","=""""","=""0.00012""","=""""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).7p""","=""2[1/2]*""","=""1""","=""""","=""14.8723""","=""""","=""0.0012""","=""0.031""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).7p""","=""2[3/2]*""","=""1""","=""""","=""14.9660""","=""""","=""0.0009""","=""0.094""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).8p""","=""2[1/2]*""","=""1""","=""""","=""15.7426""","=""""","=""0.0014""","=""0.777""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).8p""","=""2[3/2]*""","=""1""","=""""","=""15.77729""","=""""","=""0.00019""","=""0.0347""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).5f""","=""2[3/2]*""","=""1""","=""""","=""15.8418""","=""""","=""0.0010""","=""0.0645""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).9p""","=""2[1/2]*""","=""1""","=""""","=""16.1088""","=""""","=""0.0010""","=""0.267""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).9p""","=""2[3/2]*""","=""1""","=""""","=""16.12381""","=""""","=""0.00019""","=""0.0150""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).6f""","=""2[3/2]*""","=""1""","=""""","=""16.15373""","=""""","=""0.00019""","=""0.0299""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).10p""","=""2[1/2]*""","=""1""","=""""","=""16.29818""","=""""","=""0.00020""","=""0.1444""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).10p""","=""2[3/2]*""","=""1""","=""""","=""16.30723""","=""""","=""0.00020""","=""0.0091""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).7f""","=""2[3/2]*""","=""1""","=""""","=""16.32366""","=""""","=""0.00020""","=""0.0164""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).11p""","=""2[1/2]*""","=""1""","=""""","=""16.41037""","=""""","=""0.00020""","=""0.0867""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).11p""","=""2[3/2]*""","=""1""","=""""","=""16.4138""","=""""","=""0.0005""","=""0.0034""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).8f""","=""2[3/2]*""","=""1""","=""""","=""16.42636""","=""""","=""0.00020""","=""0.0126""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).12p""","=""2[1/2]*""","=""1""","=""""","=""16.48129""","=""""","=""0.00020""","=""0.0549""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).12p""","=""2[3/2]*""","=""1""","=""""","=""16.4857""","=""""","=""0.0005""","=""0.0044""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).9f""","=""2[3/2]*""","=""1""","=""""","=""16.49191""","=""""","=""0.00020""","=""0.0062""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).13p""","=""2[1/2]*""","=""1""","=""""","=""16.53034""","=""""","=""0.00020""","=""0.0384""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).13p""","=""2[3/2]*""","=""1""","=""""","=""16.5321""","=""""","=""0.0005""","=""0.0018""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).10f""","=""2[3/2]*""","=""1""","=""""","=""16.53533""","=""""","=""0.00020""","=""0.0032""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).14p""","=""2[1/2]*""","=""1""","=""""","=""16.56392""","=""""","=""0.00020""","=""0.0286""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).11f""","=""2[3/2]*""","=""1""","=""""","=""16.56795""","=""""","=""0.00020""","=""0.0040""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).15p""","=""2[1/2]*""","=""1""","=""""","=""16.59062""","=""""","=""0.00020""","=""0.0227""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).12f""","=""2[3/2]*""","=""1""","=""""","=""16.59217""","=""""","=""0.00020""","=""0.0015""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).13f""","=""2[3/2]*""","=""1""","=""""","=""16.6078""","=""""","=""0.0005""","=""0.0156""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).16p""","=""2[1/2]*""","=""1""","=""""","=""16.60801""","=""""","=""0.00020""","=""0.0002""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).17p""","=""2[1/2]*""","=""1""","=""""","=""16.62357""","=""""","=""0.00020""","=""0.0156""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).18p""","=""2[1/2]*""","=""1""","=""""","=""16.63529""","=""""","=""0.00020""","=""0.0117""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).19p""","=""2[1/2]*""","=""1""","=""""","=""16.64642""","=""""","=""0.00020""","=""0.0111""","=""""","="""""
"=""5d9.6s2.(2D<3/2>).20p""","=""2[1/2]*""","=""1""","=""""","=""16.6517""","=""""","=""0.0006""","=""0.0053""","=""""","="""""
"=""Hg II (5d9.6s2 2D<3/2>)""","=""Limit""","=""---""","=""""","=""16.70637""","=""""","=""0.00012""","=""""","=""""","="""""
