Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""14.9014416""","=""""","=""""","=""0.0530726""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""14.9014911""","=""""","=""""","=""0.000049""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""14.9037852""","=""""","=""""","=""0.002294""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""14.9037902""","=""""","=""""","=""0.000005""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""14.9065892""","=""""","=""""","=""0.002799""","=""1.184""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""14.9066280""","=""""","=""""","=""0.000039""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""14.9090845""","=""""","=""""","=""0.002457""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""14.9090892""","=""""","=""""","=""0.000005""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""14.95260474""","=""""","=""""","=""0.0435155""","=""1.057""","="""""
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""15.00356588""","=""""","=""""","=""0.0509611""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""14.95485204""","=""""","=""""","=""-0.0487138""","=""0.987""","="""""
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""14.97152236""","=""""","=""""","=""0.0166703""","=""1.133""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""15.0106102""","=""""","=""""","=""0.0390878""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""15.0603901""","=""""","=""""","=""0.049780""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""15.0140655""","=""""","=""""","=""-0.046325""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""15.02208834""","=""""","=""""","=""0.0080228""","=""1.271""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""15.0225909""","=""""","=""""","=""0.0005026""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""15.0258688""","=""""","=""""","=""0.003278""","=""1.18""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""15.0339719""","=""""","=""""","=""0.008103""","=""1.067""","="""""
"=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""15.0356402""","=""""","=""""","=""0.001668""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""""","=""15.0830792""","=""""","=""""","=""0.047439""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""""","=""15.0830844""","=""""","=""""","=""0.000005""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""""","=""15.0832027""","=""""","=""""","=""0.000118""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""""","=""15.0832456""","=""""","=""""","=""0.000043""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""15.10054371""","=""""","=""""","=""0.0172981""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""15.11774638""","=""""","=""""","=""0.0172027""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""15.13054437""","=""""","=""""","=""0.0127980""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""15.14592830""","=""""","=""""","=""0.0153839""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""15.13684847""","=""""","=""""","=""-0.0090798""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""15.1898239""","=""""","=""""","=""0.0529754""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""15.1610486""","=""""","=""""","=""-0.028775""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""15.1669463""","=""""","=""""","=""0.005898""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""15.18063359""","=""""","=""""","=""0.0136873""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""15.18550800""","=""""","=""""","=""0.0048744""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""","=""""","=""15.2006146""","=""""","=""""","=""0.0151066""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""","=""""","=""15.2240875""","=""""","=""""","=""0.023473""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""","=""""","=""15.2016576""","=""""","=""""","=""-0.022430""","=""""","="""""
"=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""""","=""15.2048089""","=""""","=""""","=""0.003151""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""""","=""15.2111334""","=""""","=""""","=""0.006324""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""""","=""15.2111762""","=""""","=""""","=""0.000043""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""""","=""15.2123201""","=""""","=""""","=""0.001144""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""""","=""15.2123276""","=""""","=""""","=""0.000008""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""","=""""","=""15.2138409""","=""""","=""""","=""0.001513""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","=""""","=""15.2138686""","=""""","=""""","=""0.000028""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""","=""""","=""15.214033""","=""""","=""""","=""0.000164""","=""""","="""""
"=""3s2.3p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""","=""""","=""15.214033""","=""""","=""""","=""0.00000""","=""""","="""""
