Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""""","=""508*""","=""7/2""","=""""","=""6.306952""","=""""","=""""","=""0.02548""","=""1.240""","="""""
"=""""","=""509*""","=""5/2""","=""""","=""6.315033""","=""""","=""""","=""0.00808""","=""1.385""","="""""
"=""""","=""509""","=""5/2""","=""""","=""6.319868""","=""""","=""""","=""0.00483""","=""1.489""","="""""
"=""5d5.6s.(7S).6d""","=""e 6D""","=""7/2""","=""""","=""6.321765""","=""""","=""""","=""0.00190""","=""1.558""","="""""
"=""5d5.6s.(7S).6d""","=""e 6D""","=""9/2""","=""""","=""6.322469""","=""""","=""""","=""0.00070""","=""1.548""","="""""
"=""5d5.6s.(7S).6d""","=""e 6D""","=""3/2""","=""""","=""6.327004""","=""""","=""""","=""0.00453""","=""""","="""""
"=""5d5.6s.(7S).6d""","=""e 6D""","=""5/2""","=""""","=""6.327603""","=""""","=""""","=""0.00060""","=""1.546""","="""""
"=""5d5.6s.(7S).6d""","=""e 6D""","=""1/2""","=""""","=""6.329377""","=""""","=""""","=""0.00177""","=""""","="""""
"=""""","=""510*""","=""9/2""","=""""","=""6.326661""","=""""","=""""","=""-0.00272""","=""""","="""""
"=""""","=""511*""","=""3/2""","=""""","=""6.345883""","=""""","=""""","=""0.01922""","=""1.456""","="""""
"=""""","=""511*""","=""9/2""","=""""","=""6.347184""","=""""","=""""","=""0.00130""","=""""","="""""
"=""""","=""512*""","=""7/2""","=""""","=""6.351666""","=""""","=""""","=""0.00448""","=""1.231""","="""""
"=""""","=""514*""","=""5/2""","=""""","=""6.382353""","=""""","=""""","=""0.03069""","=""0.97""","="""""
"=""""","=""514*""","=""9/2""","=""""","=""6.383486""","=""""","=""""","=""0.00113""","=""1.20""","="""""
"=""""","=""515*""","=""3/2""","=""""","=""6.394863""","=""""","=""""","=""0.01138""","=""0.92""","="""""
"=""""","=""515*""","=""5/2""","=""""","=""6.396355""","=""""","=""""","=""0.00149""","=""1.02""","="""""
"=""""","=""516*""","=""7/2""","=""""","=""6.403514""","=""""","=""""","=""0.00716""","=""1.139""","="""""
"=""""","=""518*""","=""3/2""","=""""","=""6.431610""","=""""","=""""","=""0.02810""","=""1.29""","="""""
"=""""","=""519*""","=""11/2""","=""""","=""6.440476""","=""""","=""""","=""0.00887""","=""""","="""""
"=""""","=""519*""","=""7/2""","=""""","=""6.441602""","=""""","=""""","=""0.00113""","=""1.200""","="""""
"=""""","=""520*""","=""9/2""","=""""","=""6.447348""","=""""","=""""","=""0.00575""","=""1.357""","="""""
"=""""","=""521*""","=""13/2""","=""""","=""6.462348""","=""""","=""""","=""0.01500""","=""1.17""","="""""
"=""""","=""522*""","=""5/2""","=""""","=""6.474221""","=""""","=""""","=""0.01187""","=""1.208""","="""""
"=""""","=""522*""","=""13/2""","=""""","=""6.475348""","=""""","=""""","=""0.00113""","=""""","="""""
"=""""","=""522*""","=""3/2""","=""""","=""6.481681""","=""""","=""""","=""0.00633""","=""1.422""","="""""
"=""""","=""523*""","=""7/2""","=""""","=""6.493439""","=""""","=""""","=""0.01176""","=""""","="""""
"=""""","=""524*""","=""1/2""","=""""","=""6.505383""","=""""","=""""","=""0.01194""","=""1.315""","="""""
"=""""","=""524*""","=""5/2""","=""""","=""6.505737""","=""""","=""""","=""0.00035""","=""""","="""""
"=""""","=""526*""","=""7/2""","=""""","=""6.522810""","=""""","=""""","=""0.01707""","=""""","="""""
"=""""","=""527*""","=""9/2""","=""""","=""6.539088""","=""""","=""""","=""0.01628""","=""""","="""""
"=""""","=""528*""","=""7/2""","=""""","=""6.553487""","=""""","=""""","=""0.01440""","=""1.30""","="""""
"=""""","=""528*""","=""5/2""","=""""","=""6.556451""","=""""","=""""","=""0.00296""","=""1.05""","="""""
"=""""","=""52951*""","=""3/2""","=""""","=""6.565160""","=""""","=""""","=""0.00871""","=""1.14""","="""""
"=""""","=""52954*""","=""3/2""","=""""","=""6.565516""","=""""","=""""","=""0.00036""","=""""","="""""
"=""""","=""530*""","=""5/2""","=""""","=""6.578445""","=""""","=""""","=""0.01293""","=""1.184""","="""""
"=""""","=""531*""","=""1/2""","=""""","=""6.586684""","=""""","=""""","=""0.00824""","=""1.145""","="""""
"=""""","=""532*""","=""1/2""","=""""","=""6.606905""","=""""","=""""","=""0.02022""","=""1.372""","="""""
