Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d3.5s.(a 3F).5p""","=""y 2G*""","=""9/2""","=""""","=""3.525334""","=""""","=""""","=""0.07174""","=""1.12""","=""L3465"""
"=""""","=""z 2P*""","=""3/2""","=""""","=""3.461496""","=""""","=""""","=""-0.06384""","=""1.450""","=""L3465"""
"=""""","=""z 2P*""","=""1/2""","=""""","=""3.526378""","=""""","=""""","=""0.06488""","=""0.772""","=""L3465"""
"=""4d4.(a 3P).5p""","=""z 4S*""","=""3/2""","=""""","=""3.497406""","=""""","=""""","=""-0.02897""","=""1.794""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""y 6P*""","=""3/2""","=""""","=""3.506056""","=""""","=""""","=""0.00865""","=""1.981""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""y 6P*""","=""5/2""","=""""","=""3.552477""","=""""","=""""","=""0.04642""","=""1.768""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""y 6P*""","=""7/2""","=""""","=""3.592209""","=""""","=""""","=""0.03973""","=""1.701""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""z 4H*""","=""7/2""","=""""","=""3.629264""","=""""","=""""","=""0.03706""","=""0.890""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""z 4H*""","=""9/2""","=""""","=""3.659896""","=""""","=""""","=""0.03063""","=""1.01""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""z 4H*""","=""11/2""","=""""","=""3.700494""","=""""","=""""","=""0.04060""","=""1.15""","=""L3465"""
"=""4d3.5s.(3G).5p""","=""z 4H*""","=""13/2""","=""""","=""3.743238""","=""""","=""""","=""0.04274""","=""1.23""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4G*""","=""5/2""","=""""","=""3.640124""","=""""","=""""","=""-0.10311""","=""0.693""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4G*""","=""7/2""","=""""","=""3.690105""","=""""","=""""","=""0.04998""","=""0.999""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4G*""","=""9/2""","=""""","=""3.734072""","=""""","=""""","=""0.04397""","=""1.276""","=""L3465"""
"=""4d4.(3H).5p""","=""y 4G*""","=""11/2""","=""""","=""3.801058""","=""""","=""""","=""0.06699""","=""1.25""","=""L3465"""
"=""4d3.5s.(a 3F).5p""","=""y 2D*""","=""3/2""","=""""","=""3.672750""","=""""","=""""","=""-0.12831""","=""0.81""","=""L3465"""
"=""4d3.5s.(a 3F).5p""","=""y 2D*""","=""5/2""","=""""","=""3.691729""","=""""","=""""","=""0.01898""","=""1.348""","=""L3465"""
"=""4d4.(b 3F).5p""","=""x 4F*""","=""3/2""","=""""","=""3.692180""","=""""","=""""","=""0.00045""","=""0.42""","=""L3465"""
"=""4d4.(b 3F).5p""","=""x 4F*""","=""5/2""","=""""","=""3.717970""","=""""","=""""","=""0.02579""","=""1.006""","=""L3465"""
"=""4d4.(b 3F).5p""","=""x 4F*""","=""7/2""","=""""","=""3.739557""","=""""","=""""","=""0.02159""","=""1.18""","=""L3465"""
"=""4d4.(b 3F).5p""","=""x 4F*""","=""9/2""","=""""","=""3.754146""","=""""","=""""","=""0.01459""","=""1.20""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""z 6S*""","=""5/2""","=""""","=""3.726915""","=""""","=""""","=""-0.02723""","=""""","=""L3465"""
"=""4d4.(a 1D).5p""","=""y 2F*""","=""5/2""","=""""","=""3.808361""","=""""","=""""","=""0.08145""","=""0.891""","=""L3465"""
"=""4d4.(a 1D).5p""","=""y 2F*""","=""7/2""","=""""","=""3.846674""","=""""","=""""","=""0.03831""","=""1.139""","=""L3465"""
"=""""","=""309*""","=""9/2""","=""""","=""3.8360736""","=""""","=""0.0000012""","=""-0.010600""","=""""","=""L9102"""
"=""4d3.5s.(5F).5p""","=""x 4G*""","=""5/2""","=""""","=""3.850528""","=""""","=""""","=""0.014454""","=""0.630""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""x 4G*""","=""7/2""","=""""","=""3.903667""","=""""","=""""","=""0.05314""","=""1.012""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""x 4G*""","=""9/2""","=""""","=""3.968068""","=""""","=""""","=""0.06440""","=""1.160""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""x 4G*""","=""11/2""","=""""","=""4.038503""","=""""","=""""","=""0.07044""","=""1.24""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 4S*""","=""3/2""","=""""","=""3.865164""","=""""","=""""","=""-0.17334""","=""1.957""","=""L3465"""
"=""4d3.5s.5p""","=""313*""","=""11/2""","=""""","=""3.890448""","=""""","=""""","=""0.02528""","=""""","=""L12172"""
"=""4d3.5s.(5F).5p""","=""w 4F*""","=""3/2""","=""""","=""3.911882""","=""""","=""""","=""0.02143""","=""0.501""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""w 4F*""","=""5/2""","=""""","=""3.969156""","=""""","=""""","=""0.05727""","=""1.01""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""w 4F*""","=""7/2""","=""""","=""4.008803""","=""""","=""""","=""0.03965""","=""1.199""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""w 4F*""","=""9/2""","=""""","=""4.082040""","=""""","=""""","=""0.07324""","=""1.24""","=""L3465"""
"=""4d3.5s.(1G).5p""","=""x 2F*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""L3465"""
"=""4d3.5s.(1G).5p""","=""x 2F*""","=""7/2""","=""""","=""3.928753""","=""?""","=""""","=""""","=""1.20""","=""L3465"""
"=""4d4.(3D).5p""","=""v 4F*""","=""3/2""","=""""","=""3.931284""","=""""","=""""","=""0.00253""","=""0.80""","=""L3465"""
"=""4d4.(3D).5p""","=""v 4F*""","=""5/2""","=""""","=""3.943634""","=""""","=""""","=""0.01235""","=""1.048""","=""L3465"""
"=""4d4.(3D).5p""","=""v 4F*""","=""7/2""","=""""","=""3.964177""","=""""","=""""","=""0.02054""","=""1.343""","=""L3465"""
"=""4d4.(3D).5p""","=""v 4F*""","=""9/2""","=""""","=""4.042553""","=""""","=""""","=""0.07838""","=""1.216""","=""L3465"""
"=""4d3.5s.(1G).5p""","=""x 2G*""","=""7/2""","=""""","=""3.942789""","=""""","=""""","=""-0.09976""","=""0.906""","=""L3465"""
"=""4d3.5s.(1G).5p""","=""x 2G*""","=""9/2""","=""""","=""3.994020""","=""""","=""""","=""0.05123""","=""1.092""","=""L3465"""
"=""4d4.(3G).5p""","=""u 4F*""","=""3/2""","=""""","=""3.956056""","=""""","=""""","=""-0.03796""","=""0.791""","=""L3465"""
"=""4d4.(3G).5p""","=""u 4F*""","=""5/2""","=""""","=""3.984825""","=""""","=""""","=""0.02877""","=""1.035""","=""L3465"""
"=""4d4.(3G).5p""","=""u 4F*""","=""7/2""","=""""","=""4.023534""","=""""","=""""","=""0.03871""","=""1.115""","=""L3465"""
"=""4d4.(3G).5p""","=""u 4F*""","=""9/2""","=""""","=""4.108378""","=""""","=""""","=""0.08484""","=""1.240""","=""L3465"""
"=""4d4.(a 1G).5p""","=""w 2F*""","=""5/2""","=""""","=""3.959272""","=""""","=""""","=""-0.14911""","=""0.982""","=""L3465"""
"=""4d4.(a 1G).5p""","=""w 2F*""","=""7/2""","=""""","=""3.978353""","=""""","=""""","=""0.01908""","=""1.074""","=""L3465"""
"=""4d4.(a 3P).5p""","=""w 4D*""","=""1/2""","=""""","=""3.975685""","=""""","=""""","=""-0.00267""","=""0.046""","=""L3465"""
"=""4d4.(a 3P).5p""","=""w 4D*""","=""3/2""","=""""","=""3.998328""","=""""","=""""","=""0.02264""","=""1.184""","=""L3465"""
"=""4d4.(a 3P).5p""","=""w 4D*""","=""5/2""","=""""","=""4.035130""","=""""","=""""","=""0.03680""","=""1.320""","=""L3465"""
"=""4d4.(a 3P).5p""","=""w 4D*""","=""7/2""","=""""","=""4.091961""","=""""","=""""","=""0.05683""","=""1.341""","=""L3465"""
"=""4d4.(3H).5p""","=""z 4I*""","=""9/2""","=""""","=""3.986836""","=""""","=""""","=""-0.10513""","=""0.835""","=""L3465"""
"=""4d4.(3H).5p""","=""z 4I*""","=""11/2""","=""""","=""4.014886""","=""""","=""""","=""0.02805""","=""0.993""","=""L3465"""
"=""4d4.(3H).5p""","=""z 4I*""","=""13/2""","=""""","=""4.050860""","=""""","=""""","=""0.03597""","=""1.08""","=""L3465"""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""L3465"""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""7/2""","=""""","=""4.029651""","=""""","=""""","=""""","=""1.06""","=""L3465"""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""9/2""","=""""","=""4.066984""","=""""","=""""","=""0.03733""","=""1.21""","=""L3465"""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""11/2""","=""""","=""4.144569""","=""""","=""""","=""0.07759""","=""1.27""","=""L3465"""
"=""4d3.5s.(1P).5p""","=""x 2D*""","=""5/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""L3465"""
"=""4d3.5s.(1P).5p""","=""x 2D*""","=""3/2""","=""""","=""4.044739""","=""""","=""""","=""""","=""1.00""","=""L3465"""
"=""4d4.(3G).5p""","=""v 2F*""","=""5/2""","=""""","=""4.048640""","=""""","=""""","=""0.00390""","=""0.830""","=""L3465"""
"=""4d4.(3G).5p""","=""v 2F*""","=""7/2""","=""""","=""4.078966""","=""""","=""""","=""0.03033""","=""1.17""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""v 4D*""","=""1/2""","=""""","=""4.092898""","=""""","=""""","=""0.01393""","=""0.46""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""v 4D*""","=""3/2""","=""""","=""4.180376""","=""""","=""""","=""0.08748""","=""1.230""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""v 4D*""","=""5/2""","=""""","=""4.199615""","=""""","=""""","=""0.01924""","=""1.350""","=""L3465"""
"=""4d3.5s.(5F).5p""","=""v 4D*""","=""7/2""","=""""","=""4.236409""","=""""","=""""","=""0.03679""","=""1.390""","=""L3465"""
"=""4d3.5s.(b 1D).5p""","=""w 2D*""","=""3/2""","=""""","=""4.102263""","=""""","=""""","=""-0.13415""","=""1.058""","=""L3465"""
"=""4d3.5s.(b 1D).5p""","=""w 2D*""","=""5/2""","=""""","=""4.139816""","=""""","=""""","=""0.03755""","=""1.212""","=""L3465"""
"=""4d3.5s.(3H).5p""","=""z 4I*""","=""15/2""","=""""","=""4.105905""","=""""","=""""","=""-0.03391""","=""1.19""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 2P*""","=""1/2""","=""""","=""4.203342""","=""""","=""""","=""0.09744""","=""0.442""","=""L3465"""
"=""4d3.5s.(c 3P).5p""","=""y 2P*""","=""3/2""","=""""","=""4.246826""","=""""","=""""","=""0.04348""","=""""","=""L3465"""
"=""4d3.5s.(1H).5p""","=""z 2I*""","=""11/2""","=""""","=""4.215969""","=""""","=""""","=""-0.03086""","=""0.946""","=""L3465"""
"=""4d3.5s.(1H).5p""","=""z 2I*""","=""13/2""","=""""","=""4.255534""","=""""","=""""","=""0.03956""","=""1.08""","=""L3465"""
"=""4d3.5s.(1H).5p""","=""w 2G*""","=""9/2""","=""""","=""4.244604""","=""""","=""""","=""-0.01093""","=""1.10""","=""L3465"""
"=""4d3.5s.(1H).5p""","=""w 2G*""","=""7/2""","=""""","=""4.255025""","=""""","=""""","=""0.01042""","=""0.87""","=""L3465"""
"=""4d4.(3H).5p""","=""z 2H*""","=""9/2""","=""""","=""4.266981""","=""""","=""""","=""0.01196""","=""0.819""","=""L3465"""
"=""4d4.(3H).5p""","=""z 2H*""","=""11/2""","=""""","=""4.319402""","=""""","=""""","=""0.05242""","=""1.01""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""x 4P*""","=""1/2""","=""""","=""4.295336""","=""""","=""""","=""-0.02407""","=""2.05""","=""L3465"""
"=""4d3.5s.(5P).5p""","=""x 4P*""","=""5/2""","=""""","=""4.302710""","=""""","=""""","=""0.00737""","=""1.55""","=""L3465"""
