Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","=""""","=""11.5806159""","=""""","=""""","=""0.000310""","=""0.87""","=""L763"""
"=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""","=""""","=""11.5827059""","=""""","=""""","=""0.002090""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""","=""""","=""11.5827155""","=""""","=""""","=""0.000010""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""","=""""","=""11.582755""","=""""","=""""","=""0.000039""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""","=""""","=""11.582794""","=""""","=""""","=""0.00004""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""","=""""","=""11.583519""","=""""","=""""","=""0.00073""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""","=""""","=""11.583519""","=""""","=""""","=""0.00000""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","=""""","=""11.585054""","=""""","=""""","=""0.00153""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","=""""","=""11.585054""","=""""","=""""","=""0.00000""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""","=""""","=""11.585844""","=""""","=""""","=""0.00079""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""","=""""","=""11.585844""","=""""","=""""","=""0.00000""","=""""","=""L234"""
"=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""1""","=""""","=""11.662815""","=""""","=""""","=""0.07697""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""0""","=""""","=""11.689912""","=""""","=""""","=""0.02710""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""","=""""","=""11.668172""","=""""","=""""","=""-0.02174""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""","=""""","=""11.671194""","=""""","=""""","=""0.00302""","=""1.307""","=""L3466"""
"=""5p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""","=""""","=""11.6699311""","=""""","=""""","=""-0.001263""","=""""","=""L763"""
"=""5p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""","=""""","=""11.6827835""","=""""","=""""","=""0.012852""","=""1.180""","=""L9794"""
"=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""","=""""","=""11.675451""","=""""","=""""","=""-0.007332""","=""""","=""L3466"""
"=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""","=""""","=""11.678101""","=""""","=""""","=""0.00265""","=""1.386""","=""L3466"""
"=""5p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""","=""""","=""11.6825748""","=""""","=""""","=""0.004474""","=""1.236""","=""L763"""
"=""5p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""","=""""","=""11.6904980""","=""""","=""""","=""0.007923""","=""1.076""","=""L763"""
"=""5p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""","=""""","=""11.6899309""","=""""","=""""","=""-0.000567""","=""1.303""","=""L763"""
"=""5p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""","=""""","=""11.7395017""","=""""","=""""","=""0.049571""","=""0.914""","=""L9794"""
"=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""","=""""","=""11.6965990""","=""""","=""""","=""-0.042903""","=""0.987""","=""L763"""
"=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""","=""""","=""11.7003882""","=""""","=""""","=""0.003789""","=""1.246""","=""L763"""
